20	1	1	1	19	1	25	1	26	1	16	1	1	0	1	22	1	1	1	12	21	0.35
40	1	1	1	19	27	26	1	2	1	1	1	1	2	1	21	1	1	1	16	1	0.25
80	1	1	2	16	2	23	1	25	1	1	1	17	2	1	1	1	1	1	1	1	0.2
160	2	1	26	14	1	22	1	23	2	1	1	1	2	1	23	1	1	1	1	21	0.35
320	1	1	2	15	1	23	1	23	2	1	1	15	2	2	20	1	1	1	1	1	0.3
640	1	1	2	1	23	23	14	24	2	1	1	1	2	1	21	1	1	1	1	1	0.3
1280	1	1	2	1	24	23	14	24	2	1	1	1	1	1	21	1	1	1	1	1	0.3
2560	1	2	2	1	23	24	15	24	2	1	1	1	2	1	21	1	1	1	1	1	0.25
5120	1	1	2	1	24	24	15	24	2	1	1	1	2	2	21	1	1	1	1	1	0.35
10240	1	1	2	1	24	24	14	24	2	1	1	1	2	2	20	1	1	1	1	1	0.35
