20	8	1	2	17	25	21	2	1	20	2	7	25	3	2	2	20	1	25	26	2	0.45
40	1	2	20	13	16	1	2	1	25	2	7	15	15	2	25	22	25	27	2	25	0.65
80	13	2	23	16	17	1	25	19	20	2	8	17	8	28	1	19	25	25	25	1	0.75
160	1	2	20	15	14	20	26	1	24	2	8	16	11	2	1	16	24	24	2	1	0.6
320	1	2	2	17	16	22	24	17	22	25	7	15	10	2	1	18	24	24	25	2	0.7
640	1	2	22	16	15	22	26	18	22	25	7	16	10	24	2	18	25	24	2	2	0.75
1280	12	2	22	15	15	21	25	1	22	24	7	16	11	2	1	18	24	24	26	1	0.8
2560	1	2	21	15	15	21	25	1	22	24	7	15	10	2	1	18	25	25	25	1	0.75
5120	1	2	21	16	15	21	25	17	22	25	7	15	10	2	1	17	25	25	25	1	0.75
10240	1	2	21	15	15	21	25	1	22	25	7	15	10	2	1	18	24	25	25	1	0.75
