20	2	2	2	0	2	2	15	1	1	2	7	30	30	1	2	2	2	14	1	1	0.35
40	1	1	2	5	2	2	1	1	1	2	11	29	2	8	2	1	2	11	1	1	0.4
80	1	1	1	8	2	2	12	1	1	2	7	2	1	3	2	1	2	1	1	1	0.3
160	2	1	2	9	2	2	1	1	1	2	7	2	2	5	2	1	2	1	1	1	0.3
320	2	1	1	8	2	2	1	1	1	2	6	30	2	5	2	1	2	1	1	1	0.25
640	2	1	1	7	2	2	1	1	1	2	7	2	2	5	2	1	2	1	1	1	0.25
1280	2	1	2	8	2	2	15	1	1	2	6	2	2	7	2	2	2	12	1	1	0.35
2560	2	1	2	8	2	2	1	1	1	2	7	2	2	6	2	1	2	11	1	1	0.4
5120	2	1	1	8	2	2	1	1	1	2	7	2	2	5	2	1	2	1	1	1	0.35
10240	2	1	1	8	2	2	15	1	1	2	6	2	2	7	2	1	2	11	1	1	0.3
