10	51.76	5.46	73.33
30	66.36	5.90	80.00
50	58.84	6.92	60.00
70	63.80	4.47	86.67
90	51.44	6.38	93.33
110	64.97	4.80	86.67
130	63.77	4.74	100.00
150	62.64	5.62	80.00
