20	2	1	2	3	2	1	10	2	1	1	1	29	2	1	1	8	27	0	1	1	0.3
40	1	1	1	6	2	1	6	2	21	1	1	2	1	1	1	4	21	0	1	1	0.3
80	1	2	2	4	1	1	7	2	1	1	1	2	1	1	1	6	2	0	1	18	0.3
160	1	1	2	4	2	2	3	2	1	1	1	2	1	1	1	9	2	1	1	1	0.1
320	1	22	26	3	2	2	5	2	18	1	1	2	1	1	1	8	2	0	1	1	0.25
640	1	2	2	4	2	2	5	2	17	1	1	2	1	1	1	7	2	0	1	1	0.25
1280	1	2	2	4	1	2	4	1	17	1	1	2	1	1	1	8	24	1	1	1	0.3
2560	1	2	2	4	2	2	4	2	1	1	1	2	1	1	1	6	23	0	1	1	0.3
5120	1	2	2	3	2	2	5	2	16	1	1	2	1	1	1	7	22	0	1	1	0.25
10240	1	24	2	4	2	2	5	2	17	1	1	2	1	1	1	6	23	1	1	1	0.35
