20.00	1.22	15.09	30.99	1.28	0.96	28.26	1.19	21.08	13.05	9.43	15.17	17.70	3.47	0.64	25.40	0.87	11.85	1.10	0.15	1.35	0.50	
40.00	23.90	17.79	1.72	1.31	19.96	1.09	1.47	2.17	8.69	10.36	1.13	21.76	6.06	0.68	22.96	1.21	0.86	1.34	0.11	1.19	0.45	
80.00	1.22	1.38	1.78	1.42	0.93	23.84	1.44	27.09	9.35	7.63	12.59	1.01	1.93	8.37	22.60	1.22	15.89	0.98	0.05	1.16	0.40	
160.00	1.28	1.30	23.41	1.28	0.99	1.56	1.58	1.22	11.23	9.00	12.66	1.35	5.53	0.67	23.56	15.97	1.31	17.21	0.18	1.22	0.40	
320.00	1.47	1.26	23.49	1.34	1.13	23.86	1.81	1.21	9.20	9.73	13.60	1.25	3.84	0.62	23.45	1.08	1.07	1.03	0.29	1.19	0.35	
640.00	1.41	1.28	1.60	1.34	0.99	23.53	1.70	23.61	9.28	8.57	13.63	1.18	4.07	0.53	22.30	1.13	1.08	0.99	0.62	1.19	0.35	
1280.00	1.32	1.26	1.53	1.33	0.96	23.40	1.84	1.75	9.43	11.04	13.42	15.90	3.93	9.94	21.56	1.13	1.08	1.05	0.25	1.23	0.40	
2560.00	1.40	1.26	1.62	1.32	0.98	23.55	1.78	1.79	8.88	9.19	13.79	15.90	3.99	9.15	22.77	1.13	1.01	1.02	0.38	1.22	0.35	
5120.00	1.37	1.26	23.44	1.38	0.98	23.31	1.77	24.00	8.84	9.24	14.11	1.24	3.84	0.59	22.67	1.15	1.02	1.02	0.28	1.21	0.40	
10240.00	1.35	1.26	1.59	1.34	1.01	23.49	1.80	1.79	8.99	9.41	13.72	16.13	3.81	0.62	23.04	1.14	1.04	1.01	0.23	1.20	0.35	
