20	1.851	0.3519
40	2.009	0.5286
80	1.480	0.1830
160	1.731	0.3052
320	2.026	0.3947
640	2.045	0.4060
1280	2.002	0.3863
2560	1.931	0.3364
5120	1.957	0.3618
10240	1.984	0.3648
